@ Raw Phidget data, non zeroed, avg constant, then zeroed.
X Axis, Y Axis, Z Axis, X Avg, Y Avg, Z Avg, X Zeroed, Y Zeroed, Z Zeroed
-0.80566,-2.18536,-0.94615,-0.225902,0.0424094,-0.25949,-0.80566,-2.18536,-0.94615,
-0.10071,1.70197,-1.03003,-0.225902,0.0424094,-0.25949,-0.10071,1.70197,-1.03003,
0.54382,1.67679,-1.11055,-0.225902,0.0424094,-0.25949,0.54382,1.67679,-1.11055,
-0.09567,0.0705,-0.30532,-0.225902,0.0424094,-0.25949,-0.09567,0.0705,-0.30532,
-0.75027,-0.58914,0.15098,-0.225902,0.0424094,-0.25949,-0.75027,-0.58914,0.15098,
-0.73517,-0.39276,-0.11407,-0.225902,0.0424094,-0.25949,-0.73517,-0.39276,-0.11407,
-0.31219,0.31219,-0.57708,-0.225902,0.0424094,-0.25949,-0.31219,0.31219,-0.57708,
0.05539,0.87616,-0.27848,-0.225902,0.0424094,-0.25949,0.05539,0.87616,-0.27848,
-0.21149,0.26688,-0.34558,-0.225902,0.0424094,-0.25949,-0.21149,0.26688,-0.34558,
-0.42297,-0.7251,-0.13421,-0.225902,0.0424094,-0.25949,-0.42297,-0.7251,-0.13421,
-0.45822,-0.13596,-0.4563,-0.225902,0.0424094,-0.25949,-0.45822,-0.13596,-0.4563,
-0.27191,0.38773,-0.4261,-0.225902,0.0424094,-0.25949,-0.27191,0.38773,-0.4261,
-0.31219,0.40787,-0.56702,-0.225902,0.0424094,-0.25949,-0.31219,0.40787,-0.56702,
-0.16617,0.15106,-0.42275,-0.225902,0.0424094,-0.25949,-0.16617,0.15106,-0.42275,
-0.47333,-0.37262,-0.1644,-0.225902,0.0424094,-0.25949,-0.47333,-0.37262,-0.1644,
-0.30716,-0.27695,-0.24828,-0.225902,0.0424094,-0.25949,-0.30716,-0.27695,-0.24828,
-0.16617,0.23666,-0.56031,-0.225902,0.0424094,-0.25949,-0.16617,0.23666,-0.56031,
-0.29709,0.16113,-0.44288,-0.225902,0.0424094,-0.25949,-0.29709,0.16113,-0.44288,
-0.75531,0.23666,-0.10065,-0.225902,0.0424094,-0.25949,-0.75531,0.23666,-0.10065,
-0.97687,1.35452,-0.31203,-0.225902,0.0424094,-0.25949,-0.97687,1.35452,-0.31203,
2.95578,0.02518,-2.55326,-0.225902,0.0424094,-0.25949,2.95578,0.02518,-2.55326,
3.27301,2.16522,-3.1639,-0.225902,0.0424094,-0.25949,3.27301,2.16522,-3.1639,
-0.4552,-0.32629,-0.07247,-0.225902,0.0424094,-0.25949,-0.4552,-0.32629,-0.07247,
